name,path,root_key,model_type,arch_family,has_attention,dataset_mode,training_mode,darcy_weight,epochs,best_train_loss_used,final_train_loss_used,best_epoch_train_loss_used,best_train_total_mse,final_train_total_mse,best_epoch_train_total_mse,best_train_supervised_mse,final_train_supervised_mse,best_epoch_train_supervised_mse,best_train_mask_mse,final_train_mask_mse,best_epoch_train_mask_mse,best_train_nonmask_mse,final_train_nonmask_mse,best_epoch_train_nonmask_mse,best_train_darcy,final_train_darcy,best_epoch_train_darcy,best_val_total_mse,final_val_total_mse,best_epoch_val_total_mse,best_val_supervised_mse,final_val_supervised_mse,best_epoch_val_supervised_mse,best_val_mask_mse,final_val_mask_mse,best_epoch_val_mask_mse,best_val_nonmask_mse,final_val_nonmask_mse,best_epoch_val_nonmask_mse,best_val_darcy,final_val_darcy,best_epoch_val_darcy
border_pressure_physics_limited_splitnet_attn_darcy_100p0,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_100p0_history.csv,splitnet_attn,splitnet_attn,splitnet,True,border_pressure,physics_limited,100.0,75,0.0032678302556562,0.0032678302556562,75,0.0571113247901965,0.221729712608533,1,0.0031698848156688,0.0033397844706017,74,0.0240220293784752,0.0253164323572164,74,0.0227562005225664,0.251579714509157,1,6.687145089064218e-07,7.417135241037333e-07,72,0.0560872416943311,0.242093089222908,1,0.0040296685649082,0.0040296685649082,75,0.0305390449240803,0.0305390449240803,75,0.0227333009243011,0.2742512628436088,1,6.003408429933188e-07,6.687976565444842e-07,72
border_pressure_physics_limited_splitnet_attn_darcy_1000p0,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_1000p0_history.csv,splitnet_attn,splitnet_attn,splitnet,True,border_pressure,physics_limited,1000.0,75,0.0038887229270468,0.0038887229270468,75,0.0917199317079324,0.205453967436766,1,0.0037424617614119,0.0037424617614119,75,0.0283697183506611,0.0283697183506611,75,0.0571276797698094,0.2323662653947487,1,5.269186386359392e-08,5.269186386359392e-08,75,0.0902769915759563,0.2111975520849228,1,0.004332006862387,0.0044944428605958,72,0.0328183580189943,0.0340707929804921,72,0.0571227066218853,0.2381150856614113,1,9.490145203017164e-09,4.3554341289109286e-08,60
border_pressure_physics_limited_splitnet_attn_darcy_10000p0,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_10000p0_history.csv,splitnet_attn,splitnet_attn,splitnet,True,border_pressure,physics_limited,10000.0,75,0.0211187667953662,0.0211187667953662,75,0.0544818783990847,0.0741781049813979,1,0.0213023141408577,0.0213023141408577,75,0.1614448943963417,0.1614448943963417,75,0.031963607439628,0.0609133012401751,1,8.174485111603703e-09,1.1695938439970634e-07,50,0.0539870541542768,0.0744212143123149,1,0.0212112054228782,0.0212112054228782,75,0.160810686647892,0.160810686647892,75,0.0319657757878303,0.0612952683120966,1,1.115087577829854e-08,1.4673010468868599e-07,50
fixed_physics_limited_attn_unet_darcy_0p0,recent_analysis_unet\physics_tests\fixed\fixed_physics_limited_attn_unet_darcy_0p0_history.csv,attn_unet,attn_unet,small_unet,True,fixed,physics_limited,0.0,75,0.0001998366427963,0.0001998366427963,75,0.0665265533786553,0.1240291081559963,73,0.0001900176971386,0.000246682420346,62,0.018767180494391,0.0243636966468049,62,0.062879673181436,0.1250485453086021,73,1.4995122257506666e-05,5.6552053884400106e-05,73,0.0664590209722519,0.1179033808410167,73,0.0001932468629092,0.0002558637919719,62,0.0190861104056239,0.0252704983577132,62,0.062735316157341,0.1188508860766887,73,1.49075345689198e-05,5.27869640791323e-05,73
fixed_physics_limited_attn_unet_darcy_0p001,recent_analysis_unet\physics_tests\fixed\fixed_physics_limited_attn_unet_darcy_0p001_history.csv,attn_unet,attn_unet,small_unet,True,fixed,physics_limited,0.001,75,0.0001931243550177,0.0002205226787154,74,0.099806860089302,0.2373096763323514,5,0.0001752291494855,0.0002116395059998,72,0.0173065829663895,0.0209026677199663,72,0.0985699085853038,0.2395232163178615,5,4.589785310553196e-05,9.669880856586716e-05,1,0.0991798356175422,0.2360415771603584,5,0.0001769515100022,0.0002387115266174,36,0.017476692656055,0.0235764471814036,36,0.0979621574282646,0.2382147923111915,5,4.614679855876602e-05,9.91931330645457e-05,1
fixed_physics_limited_attn_unet_darcy_0p01,recent_analysis_unet\physics_tests\fixed\fixed_physics_limited_attn_unet_darcy_0p01_history.csv,attn_unet,attn_unet,small_unet,True,fixed,physics_limited,0.01,75,0.0006893905721461,0.0007567845258073,67,0.0226873325136227,0.2309803481285388,6,0.0006934837602341,0.0007595426264183,59,0.0684922250608603,0.0750165570240754,59,0.0196176549563041,0.2325756412286024,6,2.695417425713505e-06,3.463879436775385e-05,6,0.0218769373372197,0.2310706108808517,6,0.0006223594973562,0.0008212350134272,67,0.0614676065742969,0.0811096332967281,67,0.0187990823760628,0.2326044991612434,6,2.85778036186457e-06,3.405839543120237e-05,6
fixed_physics_limited_attn_unet_darcy_0p1,recent_analysis_unet\physics_tests\fixed\fixed_physics_limited_attn_unet_darcy_0p1_history.csv,attn_unet,attn_unet,small_unet,True,fixed,physics_limited,0.1,75,0.0001850301386394,0.000205843633478,71,0.0409255305734964,0.1166426080923814,1,0.000181891373825,0.0002090848578611,73,0.0179645805739057,0.02065035691246,73,0.0385969828527707,0.1176244723491179,1,1.0168344115066784e-05,1.1290479447686664e-05,16,0.040915947034955,0.1126983411610126,1,0.00018197154277,0.0002416461808024,62,0.0179724983870983,0.0238662899471819,62,0.0385829366743564,0.1136069677770137,1,1.0158509758184664e-05,1.120674205594696e-05,16
fixed_physics_limited_attn_unet_darcy_1p0,recent_analysis_unet\physics_tests\fixed\fixed_physics_limited_attn_unet_darcy_1p0_history.csv,attn_unet,attn_unet,small_unet,True,fixed,physics_limited,1.0,75,0.0002132966389278,0.0002215645158102,60,0.1822152607716047,0.2592048255296854,5,0.0002004829353282,0.0003038871807989,44,0.0198007842334799,0.0300135494281466,44,0.1833630826992866,0.2615491281717251,5,1.411360329210509e-06,1.956207676392716e-06,55,0.1786326810717582,0.2652345240116119,7,0.0002015946658502,0.0002476514891895,66,0.0199105851352214,0.0244594068266451,66,0.1797933980822563,0.2676973074674606,7,1.3210656561568613e-06,2.0540140212688128e-06,55
fixed_physics_limited_attn_unet_darcy_10p0,recent_analysis_unet\physics_tests\fixed\fixed_physics_limited_attn_unet_darcy_10p0_history.csv,attn_unet,attn_unet,small_unet,True,fixed,physics_limited,10.0,75,0.0004752042004838,0.00048027024082,71,0.0116235617166146,0.3306304285159477,1,0.0004614038842145,0.0008251775915806,66,0.0455707552341314,0.0814990230286732,66,0.0090433760808828,0.3331786959599226,1,1.297188734092276e-07,3.621906020685063e-07,38,0.0116787884384393,0.3410173386335373,1,0.0004506163226324,0.0009255151089746,74,0.0445053175091743,0.0914089035242795,74,0.00906353443861,0.3435704827308655,1,1.22307170613567e-07,4.462137070504468e-07,38
fixed_physics_limited_attn_unet_darcy_100p0,recent_analysis_unet\physics_tests\fixed\fixed_physics_limited_attn_unet_darcy_100p0_history.csv,attn_unet,attn_unet,small_unet,True,fixed,physics_limited,100.0,75,0.0002020187300961,0.000210728044644,60,0.0154601756053475,0.139493523690945,1,0.0002052996252388,0.0003037948794931,67,0.0202765067896017,0.0300044331413048,67,0.0115241655506766,0.1406134443405347,1,6.541051142323505e-08,1.1120756190562949e-07,54,0.015516267158091,0.1427472785115242,1,0.0001782120038114,0.0003453397905104,59,0.0176011861767619,0.0341076346114277,59,0.0115247123874723,0.1438585072755813,1,8.595240643671788e-08,1.0509810337566705e-07,67
fixed_physics_limited_attn_unet_darcy_1000p0,recent_analysis_unet\physics_tests\fixed\fixed_physics_limited_attn_unet_darcy_1000p0_history.csv,attn_unet,attn_unet,small_unet,True,fixed,physics_limited,1000.0,75,0.0004008196869668,0.0004008196869668,75,0.0362589959150705,0.1300380075207123,1,0.0003321292404927,0.0003321292404927,75,0.0328028888369982,0.0328028888369982,75,0.0343628558210837,0.1310325843783525,1,7.61007439401067e-08,7.61007439401067e-08,75,0.0362605530768632,0.1309327565133571,1,0.0003482362895738,0.0003695875129778,74,0.0343937089666724,0.0365024708211422,74,0.0343219231814146,0.1318986490368843,1,7.684327059109819e-08,7.684327059109819e-08,75
fixed_physics_limited_attn_unet_darcy_10000p0,recent_analysis_unet\physics_tests\fixed\fixed_physics_limited_attn_unet_darcy_10000p0_history.csv,attn_unet,attn_unet,small_unet,True,fixed,physics_limited,10000.0,75,0.0024279549610442,0.0024858648046994,74,0.0335626397759486,0.1161558740796186,1,0.0023561542471631,0.002437136721057,72,0.2327066006568762,0.240704867702264,72,0.0309417078223748,0.1148819191715656,1,7.903172019952402e-09,7.903172019952402e-09,75,0.0332988306879997,0.1165235243737697,1,0.0022294685360975,0.0023074210737831,71,0.2201944261789322,0.2278934448957443,71,0.0308279253542423,0.1153843685984611,1,7.862802320346418e-09,7.862802320346418e-09,75
fixed_physics_limited_prof_unet_darcy_0p0,recent_analysis_prof_unet\physics_tests\fixed\fixed_physics_limited_prof_unet_darcy_0p0_history.csv,prof_unet,prof_unet,prof_unet,False,fixed,physics_limited,0.0,75,0.000678026172607,0.0007363054901361,19,0.1928634506005507,0.2689258425663679,3,0.0006746750866743,0.0007693909589225,17,0.0666345780094464,0.0759892326134901,17,0.1940391461054484,0.2708993141467755,3,2.7945128668085463e-06,6.31357888545235e-06,42,0.1928703144192695,0.2688602566719055,3,0.0006369797483785,0.0007053725275909,9,0.0629115812480449,0.0696664236485958,9,0.1940530896186828,0.2708977371454238,3,2.7962708145423675e-06,6.3135273649095325e-06,42
